PlayerID,PlayerNo,FirstName,LastName,POS,TeamNumber
1,18,Alec,Burks,G,1
2,8,Dennis,Smith Jr.,P-G,1
3,4,Derrick,Rose,G,1
4,6,Elfrid,Payton,G,1
5,11,Frank,Ntilikina,G,1
6,17,Ignas,Brazdeikis,S-F,1
7,5,Immanuel,Quickley,G,1
8,0,Jared,Harper,G,1
9,30,Julius,Randle,F-C,1
10,20,Kevin,Knox II,F,1
11,23,Mitchell,Robinson,C-F,1
12,3,Nerlens,Noel,C-F,1
13,14,Norvel,Pelle,C,1
14,1,Obi,Toppin,F,1
15,25,Reggie,Bullock,G-F,1
16,9,RJ,Barrett,F-G,1
17,67,Taj,Gibson,F,1
18,21,Theo,Pinson,G-F,1
19,21,Cam,Reddish,F-G,1
20,13,Evan,Fournier,G-F,1
21,11,Feron,Hunt,F,1
22,45,Jericho,Sims,C,1
23,8,Kemba,Walker,G,1
24,2,Miles,McBride,G,1
25,6,Quentin,Grimes,G,1
26,51,Ryan,Arcidiacono,G,1
